,DateTime,Day,Month,Day reg,Night reg,L1 reg,spare1,m1,m2,m3,m4,m5,m6,spare1,M1.2,M2.2,M3.2,M4.2,M5.2,M6.2
0,2014-08-06,Wed,1,m6,M6.2,,,,,,,,D,,,,,,,N
1,2014-08-07,Thu,,m6,M6.2,,,,,,,,D,,,,,,,N
2,2014-08-08,Fri,,m1,M5.2,,,D,,,,,,,,,,,N,
3,2014-08-09,Sat,,m1,M5.2,m4,,D,,,W,,,,,,,,N,
4,2014-08-10,Sun,,m1,M5.2,m4,,D,,,W,,,,,,,,N,
5,2014-08-11,Mon,,M3.2,m5,,,,,,,N,,,,,D,,,
6,2014-08-12,Tue,,M3.2,m5,,,,,,,N,,,,,D,,,
7,2014-08-13,Wed,,M3.2,m5,,,,,,,N,,,,,D,,,
8,2014-08-14,Thu,,M3.2,m5,,,,,,,N,,,,,D,,,
9,2014-08-15,Fri,,M1.2,M2.2,,,,,,,,,,D,N,,,,
10,2014-08-16,Sat,,M1.2,M2.2,M4.2,,,,,,,,,D,N,,W,,
11,2014-08-17,Sun,,M1.2,M2.2,M4.2,,,,,,,,,D,N,,W,,
12,2014-08-18,Mon,,m3,m1,,,N,,D,,,,,,,,,,
13,2014-08-19,Tue,,m3,m1,,,N,,D,,,,,,,,,,
14,2014-08-20,Wed,,m3,m1,,,N,,D,,,,,,,,,,
15,2014-08-21,Thu,,m3,m1,,,N,,D,,,,,,,,,,
16,2014-08-22,Fri,,m2,M3.2,,,,D,,,,,,,,N,,,
17,2014-08-23,Sat,,m2,M3.2,m4,,,D,,W,,,,,,N,,,
18,2014-08-24,Sun,,m2,M3.2,m4,,,D,,W,,,,,,N,,,
19,2014-08-25,Mon,,M5.2,M1.2,,,,,,,,,,N,,,,D,
20,2014-08-26,Tue,,M5.2,M1.2,,,,,,,,,,N,,,,D,
21,2014-08-27,Wed,,M5.2,M1.2,,,,,,,,,,N,,,,D,
22,2014-08-28,Thu,,M5.2,M1.2,,,,,,,,,,N,,,,D,
23,2014-08-29,Fri,,m5,m3,,,,,N,,D,,,,,,,,
24,2014-08-30,Sat,,m5,m3,,,,,N,,D,,,,,,W,,
25,2014-08-31,Sun,,m5,m3,,,,,N,,D,,,,,,W,,
26,2014-09-01,Mon,,m6,m6,M6.2,,,,,,,D,,,,,,,N
27,2014-09-02,Tue,,m6,m6,M6.2,,,,,,,D,,,,,,,N
28,2014-09-03,Wed,2,m6,M6.2,,,,,,,,D,,,,,,,N
29,2014-09-04,Thu,,m6,M6.2,,,,,,,,D,,,,,,,N
30,2014-09-05,Fri,,m1,M5.2,,,D,,,,,,,,,,,N,
31,2014-09-06,Sat,,m1,M5.2,m4,,D,,,W,,,,,,,,N,
32,2014-09-07,Sun,,m1,M5.2,m4,,D,,,W,,,,,,,,N,
33,2014-09-08,Mon,,M3.2,m5,,,,,,,N,,,,,D,,,
34,2014-09-09,Tue,,M3.2,m5,,,,,,,N,,,,,D,,,
35,2014-09-10,Wed,,M3.2,m5,,,,,,,N,,,,,D,,,
36,2014-09-11,Thu,,M3.2,m5,,,,,,,N,,,,,D,,,
37,2014-09-12,Fri,,M1.2,M2.2,,,,,,,,,,D,N,,,,
38,2014-09-13,Sat,,M1.2,M2.2,M4.2,,,,,,,,,D,N,,W,,
39,2014-09-14,Sun,,M1.2,M2.2,M4.2,,,,,,,,,D,N,,W,,
40,2014-09-15,Mon,,m3,m1,,,N,,D,,,,,,,,,,
41,2014-09-16,Tue,,m3,m1,,,N,,D,,,,,,,,,,
42,2014-09-17,Wed,,m3,m1,,,N,,D,,,,,,,,,,
43,2014-09-18,Thu,,m3,m1,,,N,,D,,,,,,,,,,
44,2014-09-19,Fri,,m2,M3.2,,,,D,,,,,,,,N,,,
45,2014-09-20,Sat,,m2,M3.2,m4,,,D,,W,,,,,,N,,,
46,2014-09-21,Sun,,m2,M3.2,m4,,,D,,W,,,,,,N,,,
47,2014-09-22,Mon,,M5.2,M1.2,,,,,,,,,,N,,,,D,
48,2014-09-23,Tue,,M5.2,M1.2,,,,,,,,,,N,,,,D,
49,2014-09-24,Wed,,M5.2,M1.2,,,,,,,,,,N,,,,D,
50,2014-09-25,Thu,,M5.2,M1.2,,,,,,,,,,N,,,,D,
51,2014-09-26,Fri,,m5,m3,,,,,N,,D,,,,,,,,
52,2014-09-27,Sat,,m5,m3,,,,,N,,D,,,,,,W,,
53,2014-09-28,Sun,,m5,m3,,,,,N,,D,,,,,,W,,
54,2014-09-29,Mon,,m6,m6,M6.2,,,,,,,D,,,,,,,N
55,2014-09-30,Tue,,m6,m6,M6.2,,,,,,,D,,,,,,,N
56,2014-10-01,Wed,3,m6,M6.2,,,,,,,,D,,,,,,,N
57,2014-10-02,Thu,,m6,M6.2,,,,,,,,D,,,,,,,N
58,2014-10-03,Fri,,m1,M5.2,,,D,,,,,,,,,,,N,
59,2014-10-04,Sat,,m1,M5.2,m4,,D,,,W,,,,,,,,N,
60,2014-10-05,Sun,,m1,M5.2,m4,,D,,,W,,,,,,,,N,
61,2014-10-06,Mon,,M3.2,m5,,,,,,,N,,,,,D,,,
62,2014-10-07,Tue,,M3.2,m5,,,,,,,N,,,,,D,,,
63,2014-10-08,Wed,,M3.2,m5,,,,,,,N,,,,,D,,,
64,2014-10-09,Thu,,M3.2,m5,,,,,,,N,,,,,D,,,
65,2014-10-10,Fri,,M1.2,M2.2,,,,,,,,,,D,N,,,,
66,2014-10-11,Sat,,M1.2,M2.2,M4.2,,,,,,,,,D,N,,W,,
67,2014-10-12,Sun,,M1.2,M2.2,M4.2,,,,,,,,,D,N,,W,,
68,2014-10-13,Mon,,m3,m1,,,N,,D,,,,,,,,,,
69,2014-10-14,Tue,,m3,m1,,,N,,D,,,,,,,,,,
70,2014-10-15,Wed,,m3,m1,,,N,,D,,,,,,,,,,
71,2014-10-16,Thu,,m3,m1,,,N,,D,,,,,,,,,,
72,2014-10-17,Fri,,m2,M3.2,,,,D,,,,,,,,N,,,
73,2014-10-18,Sat,,m2,M3.2,m4,,,D,,W,,,,,,N,,,
74,2014-10-19,Sun,,m2,M3.2,m4,,,D,,W,,,,,,N,,,
75,2014-10-20,Mon,,M5.2,M1.2,,,,,,,,,,N,,,,D,
76,2014-10-21,Tue,,M5.2,M1.2,,,,,,,,,,N,,,,D,
77,2014-10-22,Wed,,M5.2,M1.2,,,,,,,,,,N,,,,D,
78,2014-10-23,Thu,,M5.2,M1.2,,,,,,,,,,N,,,,D,
79,2014-10-24,Fri,,m5,m3,,,,,N,,D,,,,,,,,
80,2014-10-25,Sat,,m5,m3,,,,,N,,D,,,,,,W,,
81,2014-10-26,Sun,,m5,m3,,,,,N,,D,,,,,,W,,
82,2014-10-27,Mon,,m6,m6,M6.2,,,,,,,D,,,,,,,N
83,2014-10-28,Tue,,m6,m6,M6.2,,,,,,,D,,,,,,,N
84,2014-10-29,Wed,4,m6,M6.2,,,,,,,,D,,,,,,,N
85,2014-10-30,Thu,,m6,M6.2,,,,,,,,D,,,,,,,N
86,2014-10-31,Fri,,m1,M5.2,,,D,,,,,,,,,,,N,
87,2014-11-01,Sat,,m1,M5.2,m4,,D,,,W,,,,,,,,N,
88,2014-11-02,Sun,,m1,M5.2,m4,,D,,,W,,,,,,,,N,
89,2014-11-03,Mon,,M3.2,m5,,,,,,,N,,,,,D,,,
90,2014-11-04,Tue,,M3.2,m5,,,,,,,N,,,,,D,,,
91,2014-11-05,Wed,,M3.2,m5,,,,,,,N,,,,,D,,,
92,2014-11-06,Thu,,M3.2,m5,,,,,,,N,,,,,D,,,
93,2014-11-07,Fri,,M1.2,M2.2,,,,,,,,,,D,N,,,,
94,2014-11-08,Sat,,M1.2,M2.2,M4.2,,,,,,,,,D,N,,W,,
95,2014-11-09,Sun,,M1.2,M2.2,M4.2,,,,,,,,,D,N,,W,,
96,2014-11-10,Mon,,m3,m1,,,N,,D,,,,,,,,,,
97,2014-11-11,Tue,,m3,m1,,,N,,D,,,,,,,,,,
98,2014-11-12,Wed,,m3,m1,,,N,,D,,,,,,,,,,
99,2014-11-13,Thu,,m3,m1,,,N,,D,,,,,,,,,,
